"","accepted","author","kingdom","family","name","rank","url","fqId","images","snippet"
"29","TRUE","(Nees) Schinz","Plantae","Acanthaceae","Acanthopsis spathularis","Species","/taxon/urn:lsid:ipni.org:names:44837-1","urn:lsid:ipni.org:names:44837-1","NULL",NA
"30","TRUE","H.M.Steyn","Plantae","Acanthaceae","Acanthopsis tetragona","Species","/taxon/urn:lsid:ipni.org:names:77160507-1","urn:lsid:ipni.org:names:77160507-1","NULL",NA
"31","TRUE","H.M.Steyn","Plantae","Acanthaceae","Acanthopsis tuba","Species","/taxon/urn:lsid:ipni.org:names:77148242-1","urn:lsid:ipni.org:names:77148242-1","NULL",NA
"32","TRUE","H.M.Steyn","Plantae","Acanthaceae","Acanthopsis villosa","Species","/taxon/urn:lsid:ipni.org:names:77148245-1","urn:lsid:ipni.org:names:77148245-1","NULL",NA
"33","TRUE","Debnath, B.K.Singh & P.Giri","Plantae","Acanthaceae","Acanthus albus","Species","/taxon/urn:lsid:ipni.org:names:77135232-1","urn:lsid:ipni.org:names:77135232-1","NULL",NA
"34","TRUE","Forssk.","Plantae","Acanthaceae","Acanthus arboreus","Species","/taxon/urn:lsid:ipni.org:names:44841-1","urn:lsid:ipni.org:names:44841-1","NULL",NA
"35","TRUE","Vollesen","Plantae","Acanthaceae","Acanthus austromontanus","Species","/taxon/urn:lsid:ipni.org:names:77080276-1","urn:lsid:ipni.org:names:77080276-1","list(thumbnail = ""//d2seqvvyy3b8p2.cloudfront.net/0c18cfb76644bb770600b4ebf5ebf75a.jpg"", fullsize = ""//d2seqvvyy3b8p2.cloudfront.net/32c738797e62569eccc19a1a140e0543.jpg"", caption = ""A specimen from Kew's Herbarium"")",NA
"36","TRUE","Griff.","Plantae","Acanthaceae","Acanthus carduaceus","Species","/taxon/urn:lsid:ipni.org:names:44846-1","urn:lsid:ipni.org:names:44846-1","list(thumbnail = ""//d2seqvvyy3b8p2.cloudfront.net/986ad402ed4896466f521e74e193168d.jpg"", fullsize = ""//d2seqvvyy3b8p2.cloudfront.net/1567d04f9c4bec5373804a692b7e2e27.jpg"", caption = ""A specimen from Kew's Herbarium"")",NA
"37","TRUE","Hausskn.","Plantae","Acanthaceae","Acanthus caroli-alexandri","Species","/taxon/urn:lsid:ipni.org:names:44849-1","urn:lsid:ipni.org:names:44849-1","NULL",NA
"38","TRUE","Lindau","Plantae","Acanthaceae","Acanthus caudatus","Species","/taxon/urn:lsid:ipni.org:names:44850-1","urn:lsid:ipni.org:names:44850-1","NULL",NA
"39","TRUE","L.","Plantae","Acanthaceae","Acanthus dioscoridis","Species","/taxon/urn:lsid:ipni.org:names:44854-1","urn:lsid:ipni.org:names:44854-1","list(thumbnail = c(""//d2seqvvyy3b8p2.cloudfront.net/3491ee3baa8d865b22e69ed43c92f8c6.jpg"", ""//d2seqvvyy3b8p2.cloudfront.net/1170f7bae05e35dc6984e8008921c4eb.jpg"", ""//d2seqvvyy3b8p2.cloudfront.net/167301cf8406a10a05c5d7c56bfebc0d.jpg""), fullsize = c(""//d2seqvvyy3b8p2.cloudfront.net/bd8774e6c2e3971502163dfb64ba5301.jpg"", ""//d2seqvvyy3b8p2.cloudfront.net/d8305505fb246a818cdd7d231d5666b3.jpg"", ""//d2seqvvyy3b8p2.cloudfront.net/d80998cddb8e5cb9bdae682e9c2f297e.jpg""), caption = c(""Acanthus dioscoridis"", 
""Acanthus dioscoridis"", ""Acanthus dioscoridis""))",NA
"40","TRUE","Vahl","Plantae","Acanthaceae","Acanthus ebracteatus","Species","/taxon/urn:lsid:ipni.org:names:44857-1","urn:lsid:ipni.org:names:44857-1","list(thumbnail = ""//d2seqvvyy3b8p2.cloudfront.net/0274ed1b0f8bb7a6da4e6bdd9d1b2b54.jpg"", fullsize = ""//d2seqvvyy3b8p2.cloudfront.net/f454da31919868ab68be49d9a4cd5238.jpg"", caption = ""A specimen from Kew's Herbarium"")",NA
"41","TRUE","C.B.Clarke","Plantae","Acanthaceae","Acanthus eminens","Species","/taxon/urn:lsid:ipni.org:names:44859-1","urn:lsid:ipni.org:names:44859-1","list(thumbnail = ""//d2seqvvyy3b8p2.cloudfront.net/4dabd84d77daa649388402e85a7ecac0.jpg"", fullsize = ""//d2seqvvyy3b8p2.cloudfront.net/2ba1bc2dd7c08fff45671fe6109e7208.jpg"", caption = ""A specimen from Kew's Herbarium"")",NA
"42","TRUE","Bremek.","Plantae","Acanthaceae","Acanthus flexicaulis","Species","/taxon/urn:lsid:ipni.org:names:44861-1","urn:lsid:ipni.org:names:44861-1","NULL",NA
"43","TRUE","Lindau","Plantae","Acanthaceae","Acanthus gaed","Species","/taxon/urn:lsid:ipni.org:names:44863-1","urn:lsid:ipni.org:names:44863-1","list(thumbnail = ""//d2seqvvyy3b8p2.cloudfront.net/b3d7901076f9ab7b27726443cd62c305.jpg"", fullsize = ""//d2seqvvyy3b8p2.cloudfront.net/43dac55e19d380c66685d2a28195039c.jpg"", caption = ""A specimen from Kew's Herbarium"")",NA
"44","TRUE","Snogerup, B.Snogerup & Strid","Plantae","Acanthaceae","Acanthus greuterianus","Species","/taxon/urn:lsid:ipni.org:names:77075733-1","urn:lsid:ipni.org:names:77075733-1","NULL",NA
"45","TRUE","Heine & P.Taylor","Plantae","Acanthaceae","Acanthus guineensis","Species","/taxon/urn:lsid:ipni.org:names:44868-1","urn:lsid:ipni.org:names:44868-1","list(thumbnail = c(""//d2seqvvyy3b8p2.cloudfront.net/3639239a727462aa506f30be6f0f13cd.jpg"", ""//d2seqvvyy3b8p2.cloudfront.net/67d9b85f6581f65b1a7b6619fd197154.jpg"", ""//d2seqvvyy3b8p2.cloudfront.net/42f9c3d9700ebe490aceafab088824de.jpg""), fullsize = c(""//d2seqvvyy3b8p2.cloudfront.net/9da25ae891936a09bfc4a2475f0fadc0.jpg"", ""//d2seqvvyy3b8p2.cloudfront.net/e30a1e3ca065f0de71e9a05febaeb203.jpg"", ""//d2seqvvyy3b8p2.cloudfront.net/030982fa299f646f13049ca19f337a73.jpg""), caption = c(""Acanthus guineensis"", 
""Acanthus guineensis"", ""Acanthus guineensis""))",NA
"46","TRUE","Boiss.","Plantae","Acanthaceae","Acanthus hirsutus","Species","/taxon/urn:lsid:ipni.org:names:44869-1","urn:lsid:ipni.org:names:44869-1","list(thumbnail = c(""//d2seqvvyy3b8p2.cloudfront.net/6a7eb9c004219d2a99b95718658b04cc.jpg"", ""//d2seqvvyy3b8p2.cloudfront.net/5bc7139b4e005a9daed1202dd5b2a51a.jpg"", ""//d2seqvvyy3b8p2.cloudfront.net/ec3ac94bdc59323b72bdbf51fa86d919.jpg""), fullsize = c(""//d2seqvvyy3b8p2.cloudfront.net/f7e060ea6bc3fbda94770d27f758107e.jpg"", ""//d2seqvvyy3b8p2.cloudfront.net/fb6596ce721c19629fdf3195c01f2a2e.jpg"", ""//d2seqvvyy3b8p2.cloudfront.net/7fbd2343750b28643f7e578af4cfc7f6.jpg""), caption = c(""Acanthus hirsutus"", ""Acanthus hirsutus"", 
""Acanthus hirsutus""))",NA
"47","TRUE","(Borbás) Baen.","Plantae","Acanthaceae","Acanthus hungaricus","Species","/taxon/urn:lsid:ipni.org:names:907838-1","urn:lsid:ipni.org:names:907838-1","list(thumbnail = c(""//d2seqvvyy3b8p2.cloudfront.net/1a7ba4578aa41b4726379b06250dbd6a.jpg"", ""//d2seqvvyy3b8p2.cloudfront.net/85ed95ca0fc1b4e576f5c7a366cff644.jpg"", ""//d2seqvvyy3b8p2.cloudfront.net/7d40bfd03bdb5288c1319f7189aa87b2.jpg""), fullsize = c(""//d2seqvvyy3b8p2.cloudfront.net/a085373a170d15a2d2032ebe6ff3f8b4.jpg"", ""//d2seqvvyy3b8p2.cloudfront.net/1f0a2eda2be2596911252e2ff3e6b2ce.jpg"", ""//d2seqvvyy3b8p2.cloudfront.net/91b4963b3c59b4c782c25e78ceb6f583.jpg""), caption = c(""Acanthus hungaricus"", 
""Acanthus hungaricus"", ""Acanthus hungaricus""))",NA
"48","TRUE","L.","Plantae","Acanthaceae","Acanthus ilicifolius","Species","/taxon/urn:lsid:ipni.org:names:44873-1","urn:lsid:ipni.org:names:44873-1","list(thumbnail = c(""//d2seqvvyy3b8p2.cloudfront.net/65a803469ded18cc36350e3bf30191b1.jpg"", ""//d2seqvvyy3b8p2.cloudfront.net/37d2214e87f06a87f54ee3a3c8dd4233.jpg"", ""//d2seqvvyy3b8p2.cloudfront.net/09a8eb74188810339ebc286dcd044880.jpg""), fullsize = c(""//d2seqvvyy3b8p2.cloudfront.net/0299b26fd2947d22605faa174995e4e5.jpg"", ""//d2seqvvyy3b8p2.cloudfront.net/9f7d350b4551614b38d575d58c9b5d86.jpg"", ""//d2seqvvyy3b8p2.cloudfront.net/1a90aaa2067ca4bac0e3e4e6a9794f0b.jpg""), caption = c(""Acanthus ilicifolius"", 
""Acanthus ilicifolius"", ""Acanthus ilicifolius""))"," <b>Common Name</b>: Spiny Mangrove"
"49","TRUE","Vollesen","Plantae","Acanthaceae","Acanthus kulalensis","Species","/taxon/urn:lsid:ipni.org:names:77080278-1","urn:lsid:ipni.org:names:77080278-1","list(thumbnail = ""//d2seqvvyy3b8p2.cloudfront.net/c777f68c6c68de453afa5a5a2a2c24e6.jpg"", fullsize = ""//d2seqvvyy3b8p2.cloudfront.net/c91a67a403a6c3366e21f63b02611c50.jpg"", caption = ""A specimen from Kew's Herbarium"")",NA
"50","TRUE","C.B.Clarke","Plantae","Acanthaceae","Acanthus latisepalus","Species","/taxon/urn:lsid:ipni.org:names:44880-1","urn:lsid:ipni.org:names:44880-1","list(thumbnail = ""//d2seqvvyy3b8p2.cloudfront.net/e65821ec34fa19dd4991f11bc67f5524.jpg"", fullsize = ""//d2seqvvyy3b8p2.cloudfront.net/ee1042ff428e1957ff438b5bea08e608.jpg"", caption = ""A specimen from Kew's Herbarium"")",NA
