"","SORTER","Submitted_Name","Submitted_Author","Submitted_Genus","Submitted_Rank","Name_in_database","Author_in_database","Genus_in_database","Rank_in_database","ID_in_database","Name_set","Fuzzy","Score","name.dist","author.dist","New_name","New_author","New_ID","Family","Name_spLev","Accepted_SPNAME","NOTE"
"86",393,"Arenaria hispanica","","Arenaria",2,"Arenaria hispanica","Spreng.","Arenaria",2,256348,1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Arenaria hispanica",NA
"242",394,"Cerastium fontanum","","Cerastium",2,"Cerastium fontanum"," Baumg.","Cerastium",2,256730,1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Cerastium fontanum",NA
"243",395,"Cerastium glomeratum","","Cerastium",2,"Cerastium glomeratum","Thuill.","Cerastium",2,256737,1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Cerastium glomeratum",NA
"611",396,"Honckenya peploides","","Honckenya",2,"Honckenya peploides"," (L.) Ehrh.","Honckenya",2,256914,1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Honckenya peploides",NA
"806",397,"Moehringia trinervia","","Moehringia",2,"Moehringia trinervia","(L.) Clairv.","Moehringia",2,256245,1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Moehringia trinervia",NA
"913",398,"Paronychia argentea","","Paronychia",2,"Paronychia argentea","Lam.","Paronychia",2,253366,1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Paronychia argentea",NA
"1138",399,"Silene colorata","","Silene",2,"Silene colorata"," Poir.","Silene",2,255268,1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Silene colorata",NA
"1142",400,"Silene dioica","","Silene",2,"Silene dioica"," (L.) Clairv.","Silene",2,255337,1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Silene dioica",NA
"1143",401,"Silene flos-cuculi","","Silene",2,"Silene flos-cuculi","(L.) Greuter & Burdet","Silene",2,255409,1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Silene flos-cuculi",NA
"1144",402,"Silene gallica","","Silene",2,"Silene gallica","L.","Silene",2,255426,1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Silene gallica",NA
"1148",403,"Silene latifolia","","Silene",2,"Silene latifolia"," Poir.","Silene",2,255624,1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Silene latifolia",NA
"1146",404,"Silene laciniata","","Silene",2,"Silene laciniata"," Cav.","Silene",2,255611,1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Silene laciniata",NA
"1151",405,"Silene littorea","","Silene",2,"Silene littorea"," Brot.","Silene",2,255649,1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Silene littorea",NA
"1154",406,"Silene nicaeensis","","Silene",2,"Silene nicaeensis","All.","Silene",2,255768,1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Silene nicaeensis",NA
"1155",407,"Silene pendula","","Silene",2,"Silene pendula","L.","Silene",2,255868,1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Silene pendula",NA
