Major lineage,Order,Family,Tribe,Species (names WFO),Species (names WFO)2,Anthocyanins,Aurones,Carotenoids,Chlorophylls, N_pigments
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Rhagadiolus_edulis,Rhagadiolus edulis,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Sonchus_oleraceus,Sonchus oleraceus,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Sonchus_radicatus,Sonchus radicatus,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Tolpis_barbata,Tolpis barbata,1,1,0,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Tragopogon_porrifolius,Tragopogon porrifolius,1,0,0,0,1
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Urospermum_picroides,Urospermum picroides,0,1,0,0,1
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Coreopsis_gigantea,Coreopsis gigantea,0,1,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Rafinesquia_neomexicana,Rafinesquia neomexicana,0,0,0,0,0
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Stephanomeria_virgata,Stephanomeria virgata,1,0,0,0,1
Eudicotyledoneae,Asterales,Asteraceae,Coreopsideae,Coreopsis_maritima,Coreopsis maritima,0,1,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Coreopsideae,Cosmos_sulphureus,Cosmos sulphureus,0,1,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Coreopsideae,Bidens_pilosa,Bidens pilosa,0,1,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Eupatorieae,Acritopappus_sp,Acritopappus sp,0,0,0,0,0
Eudicotyledoneae,Asterales,Asteraceae,Eupatorieae,Mikania_cipoensis,Mikania cipoensis,0,0,0,0,0
Eudicotyledoneae,Asterales,Asteraceae,Eupatorieae,Symphyopappus_reticulatus,Symphyopappus reticulatus,0,0,0,0,0
Eudicotyledoneae,Asterales,Asteraceae,Eupatorieae,Symphyopappus_cuneatus,Symphyopappus cuneatus,0,0,0,0,0
Eudicotyledoneae,Asterales,Asteraceae,Gochnatieae,Richterago_arenaria,Richterago arenaria,0,0,0,0,0
Eudicotyledoneae,Asterales,Asteraceae,Gnaphalieae,Helichrysum_buddleioides,Helichrysum buddleioides,NA,1,NA,NA,NA
Eudicotyledoneae,Asterales,Asteraceae,Gnaphalieae,Xerochrysum_bracteatum,Xerochrysum bracteatum,NA,1,NA,NA,NA
Eudicotyledoneae,Asterales,Asteraceae,Gnaphalieae,Phagnalon_saxatile,Phagnalon saxatile,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Gnaphalieae,Pseudognaphalium_californicum,Pseudognaphalium californicum,0,0,0,1,1
Eudicotyledoneae,Asterales,Asteraceae,Gnaphalieae,Pseudognaphalium_stramineum,Pseudognaphalium stramineum,0,0,0,0,0
Eudicotyledoneae,Asterales,Asteraceae,Helenieae,Baileya_multiradiata,Baileya multiradiata,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Helenieae,Helenium_puberulum,Helenium puberulum,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Heliantheae,Aspilia_jolyana,Aspilia jolyana,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Heliantheae,Bahiopsis_laciniata ,Bahiopsis laciniata ,0,1,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Heliantheae,Clibadium_trianae,Clibadium trianae,NA,1,NA,NA,NA
Eudicotyledoneae,Asterales,Asteraceae,Heliantheae,Encelia_californica,Encelia californica,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Heliantheae,Helianthus_annuus,Helianthus annuus,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Heliantheae,Helianthus_californicus,Helianthus californicus,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Heliantheae,Heliomeris_multiflora,Heliomeris multiflora,0,1,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Heliantheae,Lasthenia_californica ,Lasthenia californica ,0,1,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Heliantheae,Rudbeckia_hirta,Rudbeckia hirta,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Heliantheae,Viguiera_dentata,Viguiera dentata,0,1,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Heliantheae,Verbesina_hastata,Verbesina hastata,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Heliantheae,Wedelia_hispida,Wedelia hispida,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Heliantheae,Wyethia_angustifolia,Wyethia angustifolia,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Heliantheae,Wyethia_mollis,Wyethia mollis,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Inuleae,Asteriscus_aquaticus,Asteriscus aquaticus,0,1,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Inuleae,Dittrichia_viscosa,Dittrichia viscosa,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Inuleae,Pallenis_maritima,Pallenis maritima,0,1,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Inuleae,Pallenis_spinosa,Pallenis spinosa,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Inuleae,Pulicaria_arabica,Pulicaria arabica,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Madieae,Anisocarpus_madioides,Anisocarpus madioides,0,0,1,1,2
Eudicotyledoneae,Asterales,Asteraceae,Madieae,Arnica_latifolia,Arnica latifolia,0,0,1,1,2
Eudicotyledoneae,Asterales,Asteraceae,Madieae,Calycadenia_truncata,Calycadenia truncata,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Madieae,Eriophyllum_confertiflorum,Eriophyllum confertiflorum,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Madieae,Eriophyllum_lanatum,Eriophyllum lanatum,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Madieae,Eriophyllum_staechadifolium,Eriophyllum staechadifolium,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Madieae,Holocarpha_macradenia,Holocarpha macradenia,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Madieae,Hulsea_heterochroma,Hulsea heterochroma,1,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Madieae,Layia_platyglossa,Layia platyglossa,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Madieae,Madia_elegans,Madia elegans,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Madieae,Madia_gracilis,Madia gracilis,0,0,1,1,2
Eudicotyledoneae,Asterales,Asteraceae,Madieae,Madia_sativa,Madia sativa,0,0,1,1,2
Eudicotyledoneae,Asterales,Asteraceae,Madieae,Venegasia_carpesioides,Venegasia carpesioides,0,0,1,1,2
Eudicotyledoneae,Asterales,Asteraceae,Mutisieae,Adenocaulon_bicolor,Adenocaulon bicolor,0,0,0,1,1
Eudicotyledoneae,Asterales,Asteraceae,Nassauvieae,Trixis_californica,Trixis californica,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Perityleae,Perityle_emoryi,Perityle emoryi,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Perityleae,Perityle_incana,Perityle incana,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Neurolaeneae,Calea_sp,Calea sp,0,1,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Senecioneae,Jacobaea_aquatica,Jacobaea aquatica,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Senecioneae,Pericallis_cruenta,Pericallis cruenta,1,NA,0,NA,NA
Eudicotyledoneae,Asterales,Asteraceae,Senecioneae,Senecio_elegans,Senecio elegans,1,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Senecioneae,Senecio_gallicus,Senecio gallicus,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Tageteae,Jaumea_carnosa,Jaumea carnosa,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Vernonieae,Lessingianthus_psilophyllus,Lessingianthus psilophyllus,1,0,0,0,1
Eudicotyledoneae,Asterales,Asteraceae,Vernonieae,Lychnophora_humillima,Lychnophora humillima,1,0,0,0,1
Eudicotyledoneae,Asterales,Asteraceae,Vernonieae,Lychnophora_rupestris,Lychnophora rupestris,1,0,0,0,1
Eudicotyledoneae,Asterales,Asteraceae,Vernonieae,Vernonia_sp,Vernonia sp,1,0,0,0,1
Eudicotyledoneae,Asterales,Campanulaceae,,Campanula_collina,Campanula collina,1,NA,0,NA,NA
Eudicotyledoneae,Asterales,Campanulaceae,,Campanula_isophylla,Campanula isophylla,1,NA,0,NA,NA
Eudicotyledoneae,Asterales,Campanulaceae,,Campanula_prenanthoides,Campanula prenanthoides,1,0,0,0,1
Eudicotyledoneae,Asterales,Campanulaceae,,Campanula_poscharskyana,Campanula poscharskyana,1,NA,0,NA,NA
Eudicotyledoneae,Asterales,Campanulaceae,,Campanula_rotundifolia,Campanula rotundifolia,1,NA,0,NA,NA
Eudicotyledoneae,Asterales,Campanulaceae,,Campanula_erinus,Campanula erinus,1,0,0,0,1
Eudicotyledoneae,Asterales,Campanulaceae,,Campanula_rapunculus,Campanula rapunculus,1,0,0,0,1
Eudicotyledoneae,Asterales,Campanulaceae,,Palmerella_debilis_serrata,Palmerella debilis serrata,1,0,0,0,1
Eudicotyledoneae,Asterales,Campanulaceae,,Jasione_montana,Jasione montana,1,0,0,0,1
Eudicotyledoneae,Boraginales,Boraginaceae,,Adelinia grande,Adelinia grande,1,0,0,0,1
Eudicotyledoneae,Boraginales,Boraginaceae,,Amsinckia menziesii,Amsinckia menziesii,0,0,1,0,1
Eudicotyledoneae,Boraginales,Boraginaceae,,Anchusa_azurea,Anchusa azurea,1,0,0,0,1
Eudicotyledoneae,Boraginales,Boraginaceae,,Anchusa_puechii,Anchusa puechii,1,0,0,0,1
Eudicotyledoneae,Boraginales,Boraginaceae,,Borago_officinalis,Borago officinalis,1,0,0,0,1
Eudicotyledoneae,Boraginales,Boraginaceae,,Cerinthe_major,Cerinthe major,1,0,1,0,2
Eudicotyledoneae,Boraginales,Boraginaceae,,Cryptantha flaccida,Cryptantha flaccida,0,0,1,0,1
Eudicotyledoneae,Boraginales,Boraginaceae,,Cryptantha intermedia,Cryptantha intermedia,0,0,1,0,1
Eudicotyledoneae,Boraginales,Boraginaceae,,Cynoglossum_clandestinum,Cynoglossum clandestinum,1,0,0,0,1
Eudicotyledoneae,Boraginales,Boraginaceae,,Cynoglossum_creticum,Cynoglossum creticum,1,0,0,0,1
Eudicotyledoneae,Boraginales,Boraginaceae,,Echium_albicans,Echium albicans,1,0,0,0,1
Eudicotyledoneae,Boraginales,Boraginaceae,,Echium_boissieri,Echium boissieri,1,0,0,0,1
Eudicotyledoneae,Boraginales,Boraginaceae,,Echium_creticum,Echium creticum,1,0,0,0,1
Eudicotyledoneae,Boraginales,Boraginaceae,,Echium_plantagineum,Echium plantagineum,1,0,0,0,1
Eudicotyledoneae,Boraginales,Boraginaceae,,Echium_vulgare,Echium vulgare,1,0,0,0,1
Eudicotyledoneae,Boraginales,Boraginaceae,,Eriodictyon californicum,Eriodictyon californicum,1,0,0,0,1
Eudicotyledoneae,Boraginales,Boraginaceae,,Eriodictyon crassifolium,Eriodictyon crassifolium,1,0,0,0,1
Eudicotyledoneae,Boraginales,Boraginaceae,,Glandora_prostrata,Glandora prostrata,1,0,0,0,1
Eudicotyledoneae,Boraginales,Boraginaceae,,Heliotropium curassavicum,Heliotropium curassavicum,1,0,0,1,2
Eudicotyledoneae,Boraginales,Boraginaceae,,Heliotropium_europaeum,Heliotropium europaeum,0,0,0,1,1
Eudicotyledoneae,Boraginales,Boraginaceae,,Huynhia_pulchra,Huynhia pulchra,1,NA,1,NA,NA
Eudicotyledoneae,Boraginales,Boraginaceae,,Lithospermum_officinale,Lithospermum officinale,0,NA,0,NA,NA
Eudicotyledoneae,Boraginales,Boraginaceae,,Moltkia_petraea,Moltkia petraea,1,NA,0,NA,NA
Eudicotyledoneae,Boraginales,Boraginaceae,,Myosotis_arvensis,Myosotis arvensis,1,NA,0,NA,NA
Eudicotyledoneae,Boraginales,Boraginaceae,,Nemophila menziesii,Nemophila menziesii,1,0,0,0,1
Eudicotyledoneae,Boraginales,Boraginaceae,,Nemophila parviflora,Nemophila parviflora,0,0,0,1,1
Eudicotyledoneae,Boraginales,Boraginaceae,,Nonea_vesicaria,Nonea vesicaria,1,0,0,0,1
Eudicotyledoneae,Boraginales,Boraginaceae,,Phacelia californica,Phacelia californica,1,0,0,0,1
Eudicotyledoneae,Boraginales,Boraginaceae,,Phacelia campanularia,Phacelia campanularia,1,0,0,0,1
Eudicotyledoneae,Boraginales,Boraginaceae,,Phacelia cicutaria,Phacelia cicutaria,1,0,0,0,1
Eudicotyledoneae,Boraginales,Boraginaceae,,Phacelia distans,Phacelia distans,1,0,0,0,1
Eudicotyledoneae,Boraginales,Boraginaceae,,Phacelia insularis,Phacelia insularis,1,0,0,0,1
Eudicotyledoneae,Boraginales,Boraginaceae,,Pholisma arenarium,Pholisma arenarium,1,0,0,0,1
Eudicotyledoneae,Boraginales,Boraginaceae,,Pholistoma auritum,Pholistoma auritum,1,0,0,0,1
Eudicotyledoneae,Brassicales,Brassicaceae,,Arabis_caucasica,Arabis caucasica,0,NA,0,NA,NA
Eudicotyledoneae,Brassicales,Brassicaceae,,Arabis_verna,Arabis verna,1,0,0,0,1
Eudicotyledoneae,Brassicales,Brassicaceae,,Aubrieta_deltoidea,Aubrieta deltoidea,1,NA,0,NA,NA
Eudicotyledoneae,Brassicales,Brassicaceae,,Barbarea_orthoceras,Barbarea orthoceras,0,0,1,0,1
Eudicotyledoneae,Brassicales,Brassicaceae,,Biscutella_auriculata,Biscutella auriculata,0,0,1,1,2
Eudicotyledoneae,Brassicales,Brassicaceae,,Biscutella_variegata,Biscutella variegata,0,0,1,0,1
Eudicotyledoneae,Brassicales,Brassicaceae,,Brassica_nigra,Brassica nigra,0,0,1,0,1
Eudicotyledoneae,Brassicales,Brassicaceae,,Cakile_maritima,Cakile maritima,0,0,0,0,0
Eudicotyledoneae,Brassicales,Brassicaceae,,Capsella_bursa-pastoris,Capsella bursa-pastoris,0,NA,0,NA,NA
Eudicotyledoneae,Brassicales,Brassicaceae,,Cardamine_californica,Cardamine californica,1,0,0,0,1
Eudicotyledoneae,Brassicales,Brassicaceae,,Cardamine_flexuosa,Cardamine flexuosa,0,NA,0,NA,NA
Eudicotyledoneae,Brassicales,Brassicaceae,,Cardamine_pratensis,Cardamine pratensis,1,NA,0,NA,NA
Eudicotyledoneae,Brassicales,Brassicaceae,,Cochlearia_anglica,Cochlearia anglica,0,NA,0,NA,NA
Eudicotyledoneae,Brassicales,Brassicaceae,,Crambe_filiformis,Crambe filiformis,0,0,0,0,0
Eudicotyledoneae,Brassicales,Brassicaceae,,Descurainia_pinnata,Descurainia pinnata,1,0,1,1,3
Eudicotyledoneae,Brassicales,Brassicaceae,,Diplotaxis_erucoides,Diplotaxis erucoides,0,0,0,0,0
Eudicotyledoneae,Brassicales,Brassicaceae,,Diplotaxis_virgata,Diplotaxis virgata,0,0,1,0,1
Eudicotyledoneae,Brassicales,Brassicaceae,,Erophila_verna,Erophila verna,0,NA,0,NA,NA
Eudicotyledoneae,Brassicales,Brassicaceae,,Eruca_sativa,Eruca sativa,1,0,1,1,3
Eudicotyledoneae,Brassicales,Brassicaceae,,Erysimum_ammophilum,Erysimum ammophilum,0,0,1,0,1
Eudicotyledoneae,Brassicales,Brassicaceae,,Erysimum_capitatum,Erysimum capitatum,0,0,1,0,1
Eudicotyledoneae,Brassicales,Brassicaceae,,Erysimum_franciscanum,Erysimum franciscanum,0,0,0,0,0
Eudicotyledoneae,Brassicales,Brassicaceae,,Erysimum_insulare,Erysimum insulare,0,0,1,0,1
Eudicotyledoneae,Brassicales,Brassicaceae,,Erysimum_menziesii,Erysimum menziesii,0,0,1,0,1
Eudicotyledoneae,Brassicales,Brassicaceae,,Erysimum_suffrutescens,Erysimum suffrutescens,0,0,1,0,1
Eudicotyledoneae,Brassicales,Brassicaceae,,Erysimum_teretifolium,Erysimum teretifolium,0,0,1,0,1
Eudicotyledoneae,Brassicales,Brassicaceae,,Hirschfeldia_incana,Hirschfeldia incana,0,0,1,0,1
Eudicotyledoneae,Brassicales,Brassicaceae,,Isatis_platyloba,Isatis platyloba,0,0,1,0,1
Eudicotyledoneae,Brassicales,Brassicaceae,,Malcolmia_littorea,Malcolmia littorea,1,0,0,0,1
Eudicotyledoneae,Brassicales,Brassicaceae,,Matthiola_fruticulosa,Matthiola fruticulosa,1,0,1,1,3
Eudicotyledoneae,Brassicales,Brassicaceae,,Moricandia_arvensis,Moricandia arvensis,1,0,0,0,1
Eudicotyledoneae,Brassicales,Brassicaceae,,Moricandia_moricandioides,Moricandia moricandioides,1,0,0,0,1
Eudicotyledoneae,Brassicales,Brassicaceae,,Raphanus_raphanistrum,Raphanus raphanistrum,1,0,1,1,3
Eudicotyledoneae,Brassicales,Brassicaceae,,Sinapis_alba,Sinapis alba,0,0,1,0,1
Eudicotyledoneae,Brassicales,Brassicaceae,,Sinapis_arvernensis,Sinapis arvernensis,0,0,1,0,1
Eudicotyledoneae,Brassicales,Brassicaceae,,Streptanthus_glandulosus,Streptanthus glandulosus,0,0,0,1,1
Eudicotyledoneae,Brassicales,Brassicaceae,,Sisymbrium_austriacum,Sisymbrium austriacum,0,0,1,1,2
Eudicotyledoneae,Brassicales,Cleomaceae,,Cleomella_arborea,Cleomella arborea,0,0,1,1,2
Eudicotyledoneae,Brassicales,Capparaceae,,Capparis_spinosa,Capparis spinosa,0,0,0,1,1
Eudicotyledoneae,Brassicales,Limnanthaceae,,Limnanthes_douglasii,Limnanthes douglasii,0,NA,1,NA,NA
Eudicotyledoneae,Brassicales,Resedaceae,,Reseda_lutea,Reseda lutea,0,0,0,0,0
Eudicotyledoneae,Brassicales,Resedaceae,,Reseda_luteola,Reseda luteola,0,0,0,0,0
Eudicotyledoneae,Brassicales,Resedaceae,,Reseda_media,Reseda media,0,0,0,0,0
Eudicotyledoneae,Brassicales,Tropaeolaceae,,Tropaeolum_majus,Tropaeolum majus,1,0,1,0,2
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Arenaria_hispanica,Arenaria hispanica,0,0,0,0,0
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Cerastium_fontanum,Cerastium fontanum,0,NA,0,NA,NA
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Cerastium_glomeratum ,Cerastium glomeratum ,0,NA,0,NA,NA
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Honckenya_peploides,Honckenya peploides,0,NA,0,NA,NA
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Moehringia_trinervia,Moehringia trinervia,0,NA,0,NA,NA
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Paronychia_argentea,Paronychia argentea,0,0,0,1,1
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Silene_colorata,Silene colorata,1,0,0,0,1
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Silene_dioica ,Silene dioica ,1,NA,0,NA,NA
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Silene_flos-cuculi ,Silene flos-cuculi ,1,NA,0,NA,NA
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Silene_gallica,Silene gallica,1,0,0,0,1
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Silene_latifolia,Silene latifolia,0,0,0,0,0
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Silene_laciniata,Silene laciniata,1,0,0,0,1
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Silene_littorea,Silene littorea,1,0,0,0,1
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Silene_nicaeensis,Silene nicaeensis,1,0,0,1,2
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Silene_pendula,Silene pendula,1,0,0,0,1
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Silene_ramosissima,Silene ramosissima,1,0,0,0,1
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Silene_scabriflora,Silene scabriflora,1,0,0,0,1
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Silene_secundiflora,Silene secundiflora,1,0,0,0,1
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Silene_vulgaris,Silene vulgaris,0,0,0,0,0
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Silene_uniflora,Silene uniflora,0,NA,0,NA,NA
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Spergula_arvensis,Spergula arvensis,0,NA,0,NA,NA
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Spergularia_media ,Spergularia media ,0,NA,0,NA,NA
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Spergularia_rubra,Spergularia rubra,1,0,0,0,1
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Stellaria_graminea,Stellaria graminea,0,NA,0,NA,NA
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Stellaria_holostea,Stellaria holostea,0,NA,0,NA,NA
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Stellaria_media,Stellaria media,0,NA,0,NA,NA
Eudicotyledoneae,Caryophyllales,Drosophyllaceae,,Drosophyllum_lusitanicum,Drosophyllum lusitanicum,0,0,1,0,1
Eudicotyledoneae,Caryophyllales,Frankeniaceae,,Frankenia_laevis,Frankenia laevis,1,0,0,0,1
Eudicotyledoneae,Caryophyllales,Frankeniaceae,,Frankenia_salina,Frankenia salina,1,0,0,0,1
Eudicotyledoneae,Caryophyllales,Montiaceae,,Claytonia_exigua,Claytonia exigua,0,0,0,1,1
Eudicotyledoneae,Caryophyllales,Montiaceae,,Claytonia_perfoliata,Claytonia perfoliata,0,0,0,0,0
Eudicotyledoneae,Caryophyllales,Polygonaceae,,Chorizanthe_cuspidata,Chorizanthe cuspidata,0,0,0,1,1
Eudicotyledoneae,Caryophyllales,Polygonaceae,,Chorizanthe_robusta,Chorizanthe robusta,1,0,0,1,2
Eudicotyledoneae,Caryophyllales,Polygonaceae,,Eriogonum_fasciculatum,Eriogonum fasciculatum,1,0,0,1,2
Eudicotyledoneae,Caryophyllales,Polygonaceae,,Eriogonum_giganteum,Eriogonum giganteum,0,0,0,0,0
Eudicotyledoneae,Caryophyllales,Polygonaceae,,Eriogonum_grande,Eriogonum grande,1,0,1,1,3
Eudicotyledoneae,Caryophyllales,Polygonaceae,,Eriogonum_latifolium,Eriogonum latifolium,0,0,0,0,0
Eudicotyledoneae,Caryophyllales,Polygonaceae,,Eriogonum_nudum,Eriogonum nudum,0,0,0,0,0
Eudicotyledoneae,Caryophyllales,Polygonaceae,,Eriogonum_parvifolium,Eriogonum parvifolium,1,0,0,1,2
Eudicotyledoneae,Caryophyllales,Polygonaceae,,Eriogonum_saxatile,Eriogonum saxatile,1,0,0,1,2
Eudicotyledoneae,Caryophyllales,Polygonaceae,,Eriogonum_umbellatum,Eriogonum umbellatum,1,0,0,0,1
Eudicotyledoneae,Caryophyllales,Polygonaceae,,Persicaria_amphibia,Persicaria amphibia,1,0,0,0,1
Eudicotyledoneae,Caryophyllales,Polygonaceae,,Persicaria_punctata,Persicaria punctata,0,0,0,1,1
Eudicotyledoneae,Caryophyllales,Polygonaceae,,Polygonum_paronychia,Polygonum paronychia,0,0,0,1,1
Eudicotyledoneae,Caryophyllales,Plumbaginaceae,,Armeria_pungens,Armeria pungens,1,0,0,0,1
Eudicotyledoneae,Caryophyllales,Plumbaginaceae,,Armeria_maritima_californica,Armeria maritima californica,1,0,0,0,1
Eudicotyledoneae,Caryophyllales,Plumbaginaceae,,Limoniastrum_monopetalum,Limoniastrum monopetalum,1,0,0,0,1
Eudicotyledoneae,Caryophyllales,Plumbaginaceae,,Limonium_algarvense,Limonium algarvense,1,0,0,0,1
Eudicotyledoneae,Caryophyllales,Plumbaginaceae,,Limonium_bonduellei,Limonium bonduellei,NA,1,NA,NA,NA
Eudicotyledoneae,Caryophyllales,Plumbaginaceae,,Limonium_minutum,Limonium minutum,1,0,0,0,1
Eudicotyledoneae,Celastrales,Celastraceae,,Euonymus_occidentalis,Euonymus occidentalis,1,0,0,0,1
Eudicotyledoneae,Cornales,Carnaceae,,Cornus_sanguinea,Cornus sanguinea,0,NA,0,NA,NA
Eudicotyledoneae,Cornales,Carnaceae,,Cornus_sericea,Cornus sericea,0,0,0,0,0
Eudicotyledoneae,Cornales,Hydrangeaceae,,Carpenteria californica,Carpenteria californica,0,0,0,0,0
Eudicotyledoneae,Cornales,Hydrangeaceae,,Philadelphus lewisii,Philadelphus lewisii,0,0,0,0,0
Eudicotyledoneae,Cornales,Hydrangeaceae,,Philadelphus_coronarius,Philadelphus coronarius,0,NA,0,NA,NA
Eudicotyledoneae,Cornales,Loasaceae,,Mentzelia_lindleyi,Mentzelia lindleyi,0,0,1,0,1
Eudicotyledoneae,Cornales,Loasaceae,,Petalonyx_thurberi,Petalonyx thurberi,0,0,0,0,0
Eudicotyledoneae,Crossosomatales,Staphyleaceae,,Staphylea_bolanderi,Staphylea bolanderi,0,0,0,0,0
Eudicotyledoneae,Cucurbitales,Cucurbitaceae,,Ecballium_elaterium,Ecballium elaterium,0,0,1,1,2
Eudicotyledoneae,Cucurbitales,Cucurbitaceae,,Bryonia_dioica,Bryonia dioica,0,0,0,1,1
Eudicotyledoneae,Cucurbitales,Cucurbitaceae,,Marah_fabacea,Marah fabacea,0,0,1,1,2
Eudicotyledoneae,Dipsacales,Caprifoliaceae,,Centranthus_calcitrapae,Centranthus calcitrapae,1,0,0,0,1
Eudicotyledoneae,Dipsacales,Caprifoliaceae,,Centranthus_ruber,Centranthus ruber,1,NA,0,NA,NA
Eudicotyledoneae,Dipsacales,Caprifoliaceae,,Fedia_cornucopiae,Fedia cornucopiae,1,0,0,0,1
Eudicotyledoneae,Dipsacales,Caprifoliaceae,,Lonicera hispidula,Lonicera hispidula,1,0,0,0,1
Eudicotyledoneae,Dipsacales,Caprifoliaceae,,Lonicera interrupta ,Lonicera interrupta ,1,0,0,1,2
Eudicotyledoneae,Dipsacales,Caprifoliaceae,,Lonicera involucrata,Lonicera involucrata,1,0,1,1,3
Eudicotyledoneae,Dipsacales,Caprifoliaceae,,Lonicera_japonica,Lonicera japonica,0,0,1,0,1
Eudicotyledoneae,Dipsacales,Caprifoliaceae,,Lonicera_periclymenum,Lonicera periclymenum,0,NA,0,NA,NA
Eudicotyledoneae,Dipsacales,Caprifoliaceae,,Lonicera subspicata,Lonicera subspicata,1,0,1,0,2
Eudicotyledoneae,Dipsacales,Caprifoliaceae,,Scabiosa_atropurpurea,Scabiosa atropurpurea,1,0,0,0,1
Eudicotyledoneae,Dipsacales,Caprifoliaceae,,Scabiosa_columbaria,Scabiosa columbaria,1,NA,0,NA,NA
Eudicotyledoneae,Dipsacales,Caprifoliaceae,,Sambucus_nigra,Sambucus nigra,0,NA,0,NA,NA
Eudicotyledoneae,Dipsacales,Caprifoliaceae,,Succisa_pratensis,Succisa pratensis,1,NA,0,NA,NA
Eudicotyledoneae,Dipsacales,Caprifoliaceae,,Symphoricarpos_mollis,Symphoricarpos mollis,1,0,0,0,1
Eudicotyledoneae,Dipsacales,Caprifoliaceae,,Valeriana officinalis,Valeriana officinalis,1,NA,0,NA,NA
