Major lineage,Order,Family,Tribe,Species (names WFO),Species (names WFO)2,Anthocyanins,Aurones,Carotenoids,Chlorophylls, N_pigments
Monocotyledoneae,Asparagales,Asparagaceae,,Brodiaea_kinkiensis,Brodiaea kinkiensis,1,0,0,0,1
Monocotyledoneae,Asparagales,Asparagaceae,,Brodiaea_orcuttii,Brodiaea orcuttii,1,0,0,0,1
Monocotyledoneae,Asparagales,Asparagaceae,,Brodiaea_pallida,Brodiaea pallida,1,0,0,0,1
Monocotyledoneae,Asparagales,Asparagaceae,,Chlorogalum_pomeridianum,Chlorogalum pomeridianum,1,0,0,1,2
Monocotyledoneae,Asparagales,Asparagaceae,,Dichelostemma_capitatum,Dichelostemma capitatum,1,0,0,0,1
Monocotyledoneae,Asparagales,Asparagaceae,,Dichelostemma_ida-maia,Dichelostemma ida-maia,1,0,0,0,1
Monocotyledoneae,Asparagales,Asparagaceae,,Dichelostemma_volubile,Dichelostemma volubile,1,0,0,0,1
Monocotyledoneae,Asparagales,Asparagaceae,,Dipcadi_serotinum,Dipcadi serotinum,1,0,0,1,2
Monocotyledoneae,Asparagales,Asparagaceae,,Hesperoyucca_whipplei,Hesperoyucca whipplei,1,0,0,0,1
Monocotyledoneae,Asparagales,Asparagaceae,,Hyacinthoides_hispanica,Hyacinthoides hispanica,1,0,0,0,1
Monocotyledoneae,Asparagales,Asparagaceae,,Hyacinthoides_non-scripta,Hyacinthoides non-scripta,1,NA,0,NA,NA
Monocotyledoneae,Asparagales,Asparagaceae,,Leopoldia_comosa,Leopoldia comosa,1,0,0,1,2
Monocotyledoneae,Asparagales,Asparagaceae,,Maianthemum_racemosum,Maianthemum racemosum,1,0,0,0,1
Monocotyledoneae,Asparagales,Asparagaceae,,Maianthemum_stellatum,Maianthemum stellatum,1,0,0,0,1
Monocotyledoneae,Asparagales,Asparagaceae,,Muscari_neglectum,Muscari neglectum,1,0,0,1,2
Monocotyledoneae,Asparagales,Asparagaceae,,Ornithogalum_baeticum,Ornithogalum baeticum,0,0,0,1,1
Monocotyledoneae,Asparagales,Asparagaceae,,Ornithogalum_umbellatum,Ornithogalum umbellatum,0,0,0,1,1
Monocotyledoneae,Asparagales,Aparagaceae,,Ornithogalum_narbonense,Ornithogalum narbonense,0,0,0,1,1
Monocotyledoneae,Asparagales,Asparagaceae,,Prospero_autumnale,Prospero autumnale,1,0,0,1,2
Monocotyledoneae,Asparagales,Asparagaceae,,Scilla_bifolia,Scilla bifolia,1,NA,0,NA,NA
Monocotyledoneae,Asparagales,Asparagaceae,,Scilla_cretica,Scilla cretica,1,NA,0,NA,NA
Monocotyledoneae,Asparagales,Asparagaceae,,Scilla_peruviana,Scilla peruviana,1,0,0,1,2
Monocotyledoneae,Asparagales,Asparagaceae,,Triteleia_ixioides,Triteleia ixioides,0,0,1,0,1
Monocotyledoneae,Asparagales,Asparagaceae,,Triteleia_laxa,Triteleia laxa,1,0,0,1,2
Monocotyledoneae,Asparagales,Iridaceae,,Crocus_laevigatus,Crocus laevigatus,1,NA,0,NA,NA
Monocotyledoneae,Asparagales,Iridaceae,,Crocus_vernus,Crocus vernus,1,NA,0,NA,NA
Monocotyledoneae,Asparagales,Iridaceae,,Gladiolus_communis,Gladiolus communis,1,0,0,0,1
Monocotyledoneae,Asparagales,Iridaceae,,Gladiolus_italicus,Gladiolus italicus,1,0,0,0,1
Monocotyledoneae,Asparagales,Iridaceae,,Iris_douglasiana,Iris douglasiana,1,0,1,0,2
Monocotyledoneae,Asparagales,Iridaceae,,Iris_fernaldii,Iris fernaldii,1,0,1,0,2
Monocotyledoneae,Asparagales,Iridaceae,,Iris_innominata,Iris innominata,1,0,1,1,3
Monocotyledoneae,Asparagales,Iridaceae,,Iris_foetidissima,Iris foetidissima,1,0,1,1,3
Monocotyledoneae,Asparagales,Iridaceae,,Iris_planifolia,Iris planifolia,1,0,1,1,3
Monocotyledoneae,Asparagales,Iridaceae,,Iris_pseudacorus,Iris pseudacorus,0,0,1,1,2
Monocotyledoneae,Asparagales,Iridaceae,,Iris_tenax,Iris tenax,1,0,1,1,3
Monocotyledoneae,Asparagales,Iridaceae,,Moraea_sisyrinchium,Moraea sisyrinchium,1,0,1,0,2
Monocotyledoneae,Asparagales,Iridaceae,,Romulea_bulbocodium,Romulea bulbocodium,1,0,0,1,2
Monocotyledoneae,Asparagales,Iridaceae,,Sisyrinchium bellum,Sisyrinchium bellum,1,0,0,0,1
Monocotyledoneae,Asparagales,Iridaceae,,Sisyrinchium californicum,Sisyrinchium californicum,0,0,1,0,1
Monocotyledoneae,Asparagales,Iridaceae,,Sisyrinchium_vaginatum,Sisyrinchium vaginatum,0,0,1,0,1
Monocotyledoneae,Asparagales,Iridaceae,,Trimezia_truncata,Trimezia truncata,1,0,1,0,2
Monocotyledoneae,Asparagales,Orchidaceae,,Anacamptis_pyramidalis,Anacamptis pyramidalis,1,NA,0,NA,NA
Monocotyledoneae,Asparagales,Orchidaceae,,Cephalanthera_longifolia,Cephalanthera longifolia,0,0,0,0,0
Monocotyledoneae,Asparagales,Orchidaceae,,Dactylorhiza_fuchsii,Dactylorhiza fuchsii,1,NA,0,NA,NA
Monocotyledoneae,Asparagales,Orchidaceae,,Epipactis gigantea,Epipactis gigantea,1,0,1,1,3
Monocotyledoneae,Asparagales,Orchidaceae,,Gomesa_hydrophila,Gomesa hydrophila,0,0,1,0,1
Monocotyledoneae,Asparagales,Orchidaceae,,Himantoglossum_robertianum,Himantoglossum robertianum,1,0,0,1,2
Monocotyledoneae,Asparagales,Orchidaceae,,Koellensteinia_tricolor,Koellensteinia tricolor,1,0,0,0,1
Monocotyledoneae,Asparagales,Orchidaceae,,Ophrys_fusca,Ophrys fusca,1,0,1,1,3
Monocotyledoneae,Asparagales,Orchidaceae,,Ophrys_lutea,Ophrys lutea,1,0,1,1,3
Monocotyledoneae,Asparagales,Orchidaceae,,Ophrys_tenthredinifera,Ophrys tenthredinifera,1,0,1,1,3
Monocotyledoneae,Asparagales,Orchidaceae,,Orchis_anthropophora,Orchis anthropophora,1,0,0,1,2
Monocotyledoneae,Asparagales,Orchidaceae,,Orchis_italica,Orchis italica,1,0,0,0,1
Monocotyledoneae,Asparagales,Orchidaceae,,Orchis_mascula,Orchis mascula,1,0,0,0,1
Monocotyledoneae,Asparagales,Orchidaceae,,Serapias_cordigera,Serapias cordigera,1,0,0,1,2
Monocotyledoneae,Asparagales,Orchidaceae,,Serapias_parviflora,Serapias parviflora,1,0,0,1,2
Monocotyledoneae,Asparagales,Orchidaceae,,Serapias_vomeracea,Serapias vomeracea,1,0,0,0,1
Monocotyledoneae,Asparagales,Asphodelaceae,,Asphodelus_albus,Asphodelus albus,0,0,0,1,1
Monocotyledoneae,Asparagales,Asphodelaceae,,Asphodelus_fistulosus,Asphodelus fistulosus,1,0,0,0,1
Monocotyledoneae,Asparagales,Asphodelaceae,,Asphodelus_ramosus,Asphodelus ramosus,1,0,0,1,2
Monocotyledoneae,Asparagales,Asphodelaceae,,Asphodelus_tenuifolius,Asphodelus tenuifolius,0,0,0,1,1
Monocotyledoneae,Asparagales,Asphodelaceae,,Aloe_plicatilis,Aloe plicatilis,NA,NA,1,NA,NA
Monocotyledoneae,Asparagales,Asphodelaceae,,Simethis_planifolia,Simethis planifolia,1,0,0,0,1
Monocotyledoneae,Commelinales,Commelinaceae,,Commelina_erecta,Commelina erecta,1,0,0,0,1
Monocotyledoneae,Commelinales,Commelinaceae,,Tradescantia_pallida,Tradescantia pallida,1,NA,0,NA,NA
